[17:14:59] [main/INFO]: ModLauncher running: args [--username, SulOmteA, --version, Mod v6, --gameDir, C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6, --assetsDir, C:\Users\JPAzo\AppData\Roaming\.minecraft\assets, --assetIndex, 5, --uuid, 153975009819421fa6e0f2ed5a376217, --accessToken, ????????, --clientId, null, --xuid, null, --userType, mojang, --versionType, modified, --width, 925, --height, 530, --launchTarget, forgeclient, --fml.forgeVersion, 47.4.10, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412]
[17:14:59] [main/INFO]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.15 by Microsoft; OS Windows 10 arch amd64 version 10.0
[17:15:02] [main/INFO]: Found mod file bc_particle-0.0.4-forge-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file bettercombat-forge-1.9.0%2B1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file betterfpsdist-1.20.1-6.0.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file bettervillage-forge-1.20.1-3.3.1-all.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file BiomesOPlenty-forge-1.20.1-19.0.0.96.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file BOMD-Forge-1.20.1-1.1.2.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file Bookshelf-Forge-1.20.1-20.2.13.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file bossesrise-1.20.1-forge-1.0.9.2b.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file botarium-forge-1.20.1-2.3.4.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file bumblezonedelight-1.0.0-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file Butchersdelight beta 1.20.1 2.1.0.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file Butchersdelight Foods beta 1.20.1 1.0.3.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file carryon-forge-1.20.1-2.1.2.7.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file cataclysmartifacts-1.0.4.2-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file cataclysmfortresses-1.20.1-Forge.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file celestisynth-1.20.1-1.3.3-all.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file CerbonsAPI-Forge-1.20.1-1.1.0.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file chefsdelight-1.0.4-forge-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file Chunky-1.3.146.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file citadel-2.6.3-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file cloth-config-11.1.136-forge.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file Clumps-forge-1.20.1-12.0.0.4.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file CoffeeDelight-Forge-1.20.1-1.5-Fix.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file configured-forge-1.20.1-2.2.3.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file connectedglass-1.1.14-forge-mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file Corgilib-Forge-1.20.1-4.0.3.4.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file cosmeticarmorreworked-1.20.1-v1a.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file cratedelight-25.09.22-1.20-forge.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file create-1.20.1-6.0.8.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file create_connected-1.1.10-mc1.20.1-all.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file create_ultimate_factory-2.2.2-forge-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file createaddition-1.20.1-1.3.3.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file createartifactscompat-1.0.2.3-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file createbetterfps-1.20.1-1.1.1.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file createdieselgenerators-1.20.1-1.3.8.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file createimmersivetacz-1.4-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file createoreexcavation-1.20-1.6.5.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file CreativeCore_FORGE_v2.12.32_mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file crittersandcompanions-forge-1.20.1-2.3.5.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file Croptopia-1.20.1-FORGE-3.0.4.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file croptopiadelight-1.3.2.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file culturaldelights-0.16.5.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file cupboard-1.20.1-2.7.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file curios-forge-5.14.1+1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file curios_for_ammo_box-1.0.0.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file Data_Anchor-forge-1.20.1-1.0.0.20.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file Dungeon Crawl-1.20.1-2.3.15.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file DungeonsArise-1.20.x-2.1.58-release.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file DungeonsAriseSevenSeas-1.20.x-1.0.2-forge.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file Dynamic%20Trees%20BWG-1.20.1-1.0.9.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file DynamicTrees-1.20.1-1.4.10.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file DynamicTreesAether-1.20.1-1.3.3.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file DynamicTreesBOP-1.20.1-3.3.3.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file DynamicTreesCroptopia-1.20.1-1.0.0.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file DynamicTreesPlus-1.20.1-1.2.2.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file DynamicTreesTerralith-1.20.1-1.2.6.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file DynamicTreesTheTwilightForest-1.20.1-2.2.0.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file dynamicvillage-v0.4-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file embeddium-0.3.31+mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file enchanted_arsenal-1.0.1-forge-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file EnchantmentDescriptions-Forge-1.20.1-17.1.20.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file ends_delight-2.5.1+forge.1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file Enhanced-Celestials-forge-1.20.1-5.0.3.1.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file entityculling-forge-1.9.5-mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file EpheroLib-1.20.1-FORGE-1.2.0.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file Explorify v1.6.4 f15-88.mod.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file fantasy_armor-forge-1.2-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file fantasy_weapons-forge-0.4-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file FarmersDelight-1.20.1-1.2.9.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file ferritecore-6.0.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file flib-1.20.1-0.0.15.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file fusion-1.2.12-forge-mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file geckolib-forge-1.20.1-4.8.2.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file GlitchCore-forge-1.20.1-0.0.1.1.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file gpumemleakfix-1.20.1-1.8.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file guardvillagers-1.20.1-1.6.15.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file ImmediatelyFast-Forge-1.5.4+1.20.4.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file immersive_armors-1.7.1+1.20.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file ironchest-1.20.1-14.4.4.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file ironfurnaces-1.20.1-4.1.6.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file irons_spellbooks-1.20.1-3.15.0.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file irons_spells_dynamic_skilltree_1.1.0.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file ironsspellsartifacts-1.0.2.2-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file ItemProductionLib-1.20.1-1.0.2a-all.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file Jade-1.20.1-Forge-11.13.2.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file JadeAddons-1.20.1-Forge-5.5.0.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file jamlib-forge-1.3.5+1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file jei-1.20.1-forge-15.20.0.129.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file jet_and_elias_armors-1.4-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file kotlinforforge-4.12.0-all.jar of type LIBRARY with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file KryptonReforged-0.2.3.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file L_Enders_Cataclysm-3.16.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file libraryferret-forge-1.20.1-4.0.0.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file lionfishapi-2.4-Fix.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file lootintegration_wda-1.7.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file lootintegrations-1.20.1-4.7.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file lootintegrations_cataclysm-1.1.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file lootintegrations_yungs-1.4.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file lootr-forge-1.20-0.7.35.94.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file lrtactical-1.20.1-0.3.0.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file macawsroofsbyg-1.20.1-1.0.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file majrusz-library-forge-1.20.1-7.0.8.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file majruszs-accessories-forge-1.20.1-1.5.3.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file majruszs-enchantments-forge-1.20.1-1.10.8.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file mcw-furniture-3.4.1-mc1.20.1forge.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
[17:15:02] [main/INFO]: Found mod file mcw-mcwfences-1.2.1-mc1.20.1forge.jar of type MOD with provider {mods folder locator at C:\Users\JPAzo\AppData\Roaming\.minecraft\versions\Mod v6\mods}
